company_name,round_date
Allfresh Supply Chain Management,2016-12-14
Smiles.ai,2022-01-23
Sustainable Agro commercial Finance,2011-01-01
Doctor Insta,2016-08-08
KHETHINEXT,2018-02-26
Inthree,2018-08-13
Empays Payment Systems,2013-07-11
Healthmap Solutions,2017-12-21
9stacks,2018-10-01
RozBuzz WeMedia,None
Module Innovations,2020-06-17
Polestar,
Frendy,2022-04-22
GuaRented,2018-12-15
Spectral Insights,2018-05-30
Overcart,2016-07-07
ERC Eye care,2021-04-21
Azania Bank,None
Telluris Biotech India,2019-09-25
Network FP,2022-01-07
Purple Tutor,2022-09-02
Zoomo,2020-08-24
Corvi LED Light,2017-07-25
Plixer,None
Home Dialysis,2014-03-08
RezNext,2014-12-09
Yellowant,2021-11-09
Trezi,2020-04-21
Storia Foods,2021-10-19
GC Aesthetics,
MobiGarage,2022-08-08
Paradise Food Court,2014-08-28
Nao Spirits,2021-01-11
PI Green Innovations,2021-12-16
FrontRow,2021-08-04
HealthifyMe,2016-05-10
Sukkhi Fashion Jewellery,2018-10-17
SS Supply Chain-3SC,
Besharam,2016-01-20
SHUNYA,2019-11-02
QED-it,2019-05-07
MyLoanCare,2018-04-30
Boonbox,2018-07-24
Charmboard,2017-03-28
SmartVizX,2020-02-19
OneBreath,2014-01-28
Akiva Superfoods,2019-07-16
Lipomic Healthcare,2017-07-04
Furtados School of Music,2018-02-01
Kinsane Entertainment,2019-02-05
Kiva,2018-07-20
LegalRaasta,2017-05-12
Nischint,2012-02-27
Wassup,2017-02-11
Janajal,2017-07-08
Ducere,2018-05-10
JewelMaze,2019-08-07
WorkPack,2018-08-01
IndianRoots,2013-01-01
SiliConch,2021-02-24
MonJin,2017-03-22
Fyre Energy  Drink Mix,2019-09-01
Mother Sparsh Baby Care,2021-11-26
MadBow,2022-01-20
Krsnaa Diagnostics,2016-02-25
PayKun,2021-05-25
Iba Cosmetics,2017-08-01
Cygnus Hospitals,
Nueclear,2013-01-21
Stelis Biosource,
Catwalk,2016-05-13
All About Outdoor,2015-12-04
FutureCure Health,2022-03-21
Medecube,2016-03-03
VClinBio,2017-08-07
Skyline Vet Pharma,2017-04-12
Shera Group Private Limited,2015-03-25
Ansìo,2018-12-23
Digiperform,2019-01-09
Perpetuuiti,2020-08-11
Schrocken,2022-01-18
Sagacito,2016-07-18
Urban Platter,2021-11-01
Yaap,2016-07-12
Intech,2018-11-20
RentalCoins,2018-05-05
Nutriglow Cosmetics,2022-06-21
Ruralbasket,2020-12-08
Synctag,2018-01-01
FarmTaaza,2017-04-15
Zink London,2017-06-19
YatraGenie,2015-09-12
Rentickle,2017-12-04
Beldara,2021-03-24
Juvalia & You,2012-06-05
Avita Pharmacy,
DocTalk,2017-11-07
ThugStart,2016-04-01
FinBucket,2017-12-15
BackpackerPanda,2018-02-08
Witlinger,2019-10-01
TrooGood,2021-10-31
iLogix,1998-09-30
RCI Cash Management,2015-12-19
Ethos HR Management,None
Tierra Seed Science,2019-05-30
Murmur,2022-08-09
SuperFan,
Solar Roof Top,2017-01-01
Livve Homes,2021-03-18
Transcell Biologics,2017-04-11
Walk-On's Bistreaux & Bar,
Clinked,
VestaSpace Technology,2020-05-06
Intergrow Brands,2019-10-25
Vidyartha,2012-01-01
Flex Class,2017-04-14
AnyTimeLoan,2018-01-02
Varmora Plastech,2017-03-31
E42,2021-10-26
PressPlay,
GreenJoules,2021-05-28
Loan Singh,2017-02-21
EFRAC,2015-03-24
Midland Microfin,2020-05-05
Campus Students Communities,2016-12-26
DIGITAL MALL OF ASIA,2019-11-19
Lifezen,2015-03-19
Auntie Fung's,2021-08-05
Swipe Telecom,2012-07-25
Vedix,2020-07-14
Scootsy,2017-03-24
PuStack,2021-12-01
Lahori Zeera,2021-12-20
QuaQua,2019-05-16
ProEdge,2017-12-19
Orobind,2015-08-17
EkStop,2013-12-30
Big Fish Ventures,2016-03-10
Southern Health Foods,2015-05-13
Automony,2019-08-09
SafetyKart,2017-04-12
Shopmonkey,2019-08-30
Ecotrail Personal Care,2017-08-30
Hall of Fame Resort and Entertainment,
Zynergy Group,2015-08-19
Frozen Bottle,2022-02-26
NONA Lifestyle,
Exclusife,2017-03-28
Excellence4u,2013-05-28
S-Cube Futuretech,2015-10-14
Infigo Eyecare,2018-08-07
Tejovat,2018-01-01
Gho Agro,2016-11-03
GBMiners,2016-11-08
Medisync,2019-10-21
SUPERMOM MITALI,2018-02-02
AyuSmart Technologies,-
Janyu Technologies,2020-03-19
Fretbox,
Just Clean Rojgar,
Arohan Foods,2013-04-17
Appnit Technologies,2018-10-25
IVF Access,2020-06-03
Makers Hive Innovations,2021-01-27
Aartas,2021-08-06
One Mind,None
Zvesta,2020-02-19
KBI Biopharma,2009-02-01
Alpha Alternatives,2019-03-05
indyFint,2019-12-05
CloudMunch,2012-08-23
Momentz,2017-01-01
Epack Durable,
Trucking Cube,2016-03-14
Sa-Dhan,None
Ace Digitech,1999-12-29
Orchard Estate,2017-01-01
Avity Agrotech,
Ensatus Technology India Private Limited,2013-09-17
Heptagon,None
SmartPrep,2012-11-01
Bazar India,2021-12-31
Baker Street Scienti?c,
Techbooze,None
Yapanbio,
FunOnGo,2016-11-09
Clarity Money,2017-03-23
Zaara Biotech,2021-01-01
vSplash,None
Stelling Cyber Systems,None
Prothom Industries,2015-07-31
Janus Technologies,
Mr. Cabie,-
Maroosh,2014-03-20
ZyFin,-
Vidya Robotics,2017-09-08
Recapita Finance,2020-04-25
Omkar Clean Energy,2014-07-01
Phable,2021-01-22
Nilgai Foods,None
mSupply,2015-01-01
Advanced Structures,2016-04-21
Infinite Wellness,None
Arraystorm Lighting,2014-07-09
ASLAN Pharmaceuticals,2011-04-26
MoNeed Technical Service,2019-07-22
Rising Sun Energy,2020-04-03
Tilla,None
MAD Studios,2012-04-12
Fast Track Housing  Finance,2018-09-05
EasyFi,None
ProPhysio,2019-09-05
Tranzact,2021-11-02
VawWorld,2016-10-13
HOPPR,None
MN BIO-TECHNOLOGY,-
Razorpay,None
Swiggy,2015-02-06
NoBroker,2015-02-20
Delhivery,2012-04-02
Unacademy,2017-01-13
ShipRocket,2014-09-27
Boat Lifestyle,
Nykaa,2014-07-02
cult.fit,2016-06-09
DeHaat,
Groww,2019-01-23
Meesho,2017-10-05
Urban Company,2015-06-29
Shadowfax,2015-08-28
BharatPe,2019-02-01
Milkbasket,2018-05-21
PharmEasy,2015-01-01
Niyo,2018-01-09
MyGlamm,2016-04-07
bigbasket,2012-02-15
KhataBook,2019-09-30
Blinkit,2015-02-27
Moglix,2016-10-04
ShareChat,2016-11-12
CoinSwitch,2021-01-13
WayCool,None
Classplus,2020-04-28
Rebel Foods,2012-11-06
GoMechanic,2018-06-05
Square Yards,2016-11-09
udaan,2016-11-23
Mamaearth,2018-09-01
upGrad,2021-04-14
Rapido,2018-03-08
Cashify,2017-07-06
Dunzo,None
Clear,2016-06-17
Apna,2020-08-31
BYJU'S,None
smallcase,2018-07-01
Vedantu,2015-05-07
Turtlemint,2016-12-23
LEAD School,2018-12-21
